Price,Close,High,Low,Open,Volume
Ticker,MS,MS,MS,MS,MS
Date,,,,,
2024-10-25,113.49124145507812,116.52078451953514,112.95719230427876,116.52078451953514,7271700
2024-10-28,115.6760025024414,116.21005904452416,114.10297670247357,114.69529126435016,5994000
2024-10-29,115.8410873413086,116.6081760162205,115.37500092578233,115.44297108969322,4622200
2024-10-30,114.50109100341797,115.8605016598693,114.37486281842021,115.17108789591151,5673000
2024-10-31,113.77198028564453,115.39659881398522,113.23370126317886,114.63321925482552,5374600
2024-11-01,114.35918426513672,115.50424235618942,113.82091273178317,114.18302090753139,4372100
2024-11-04,113.66432189941406,114.9463951297392,113.46858815028916,114.51577938831163,4366300
2024-11-05,115.29872131347656,115.38680672690641,113.61538419850841,113.61538419850841,4798400
2024-11-06,128.68711853027344,130.67384514533367,124.93875835829274,126.74931415089725,22798700
2024-11-07,125.70213317871094,128.745839994947,125.34980645956848,127.95310861025841,7780000
2024-11-08,126.7688980102539,127.73780024583832,125.0366311528621,126.2306189904848,6979300
2024-11-11,130.67384338378906,131.13382588782662,127.76715178743574,127.76715178743574,6861300
2024-11-12,129.48963928222656,130.9674612418017,128.90243801633676,130.35088572576552,5683300
2024-11-13,129.93002319335938,131.7797345122297,129.64621153358098,130.61511362766578,6134800
2024-11-14,129.6070556640625,132.0342016259251,129.16665105222904,130.26278678561167,7344200
2024-11-15,131.2023162841797,131.5350651121057,129.71471308456333,130.5270222352247,7281900
2024-11-18,130.92828369140625,132.62140204592075,130.57595701723017,131.8188893030077,6434100
2024-11-19,129.42112731933594,131.23168305670197,129.11772285289254,130.4193738598624,7244800
2024-11-20,128.8828582763672,130.80106995716747,128.256501308459,130.32152450373144,5125600
2024-11-21,132.11251831054688,132.6801566497367,130.3019474884151,130.36066612117125,5547400
2024-11-22,131.81890869140625,132.77801452691648,131.1044737785741,131.8091122970412,6334100
2024-11-25,130.81085205078125,133.3358575016715,130.7325555716614,132.55290764399967,8012300
2024-11-26,128.48158264160156,128.9807059047497,125.79020272425102,127.96288152493977,8817300
2024-11-27,128.4130859375,129.60706622980692,127.78672901030241,128.6871161598035,5507800
2024-11-29,128.80455017089844,129.9006710324889,128.6185978961229,129.4602663958518,4068200
2024-12-02,128.23692321777344,130.16493128944978,128.04118946569793,129.47985569042146,5512100
