Price,Close,High,Low,Open,Volume
Ticker,GM,GM,GM,GM,GM
Date,,,,,
2024-10-25,51.52312088012695,52.849047330017775,51.36480147303398,52.64125381595182,8445100
2024-10-28,52.17619323730469,52.304828945818265,51.503334757648176,51.70123497659998,11504900
2024-10-29,50.998687744140625,51.67154615728691,50.43467462939041,51.582491256293075,13807600
2024-10-30,51.42417526245117,52.17619154045201,50.95911032923399,50.95911032923399,8179600
2024-10-31,50.22687911987305,51.572595993746624,50.20709249640357,51.206483065441525,9364600
2024-11-01,50.424781799316406,51.23616928812851,50.25656906914855,50.61278870318951,10289500
2024-11-04,51.255958557128906,52.215772130507354,50.45446817284038,50.45446817284038,9778500
2024-11-05,53.13600158691406,53.17558238171371,50.969000254537576,51.117426347720084,11534000
2024-11-06,54.471824645996094,54.798360561040525,52.58188498743077,53.90781149694897,19150100
2024-11-07,54.80825424194336,55.34258368399488,53.630753826725474,54.550986607603335,10964800
2024-11-08,54.99626159667969,55.49101024533798,54.273925247961856,54.52129957229101,10247500
2024-11-11,57.054412841796875,57.60853267579394,55.372266715942,55.580060238203686,11276500
2024-11-12,56.807037353515625,57.67779599626816,56.4211340273618,56.896092257599776,10219700
2024-11-13,57.103885650634766,57.806427795409995,56.93567292919526,57.004937435038876,10048600
2024-11-14,57.014835357666016,58.766246092707625,56.5695608022092,57.183051867342044,17750200
2024-11-15,56.44092559814453,57.22262935305466,56.34197360564369,56.92577715018469,12625000
2024-11-18,55.65922164916992,56.91588363980487,55.253527917912386,56.88619992947439,12273200
2024-11-19,54.531192779541016,56.18365133667505,54.19476357140268,54.442137878132854,14530600
2024-11-20,54.29371643066406,54.90720748159238,54.00676507902054,54.42235213806938,12183700
2024-11-21,55.09520721435547,55.223842913828165,54.15518407137643,54.620248987032184,11326700
2024-11-22,57.91527557373047,58.281392291281385,55.065526076686446,55.15458098438361,14591700
2024-11-25,59.5677375793457,60.596815666277394,58.28139185799739,58.53865949241401,25347300
2024-11-26,54.21455764770508,57.70748188787028,54.155186451193465,57.044520512670736,25817300
2024-11-27,54.91709899902344,55.481112146231986,54.57077646113487,54.62025057017144,11386800
2024-11-29,55.00615692138672,56.391454698168445,55.00615692138672,55.8373348325292,8064700
2024-12-02,54.46192932128906,55.03583576111316,54.11560302043797,54.91709714849998,10602600
2024-12-03,53.0964241027832,54.63014413789286,52.918314289711624,54.521298832723275,14234800
2024-12-04,52.79957580566406,53.264640738149374,52.20587516905104,53.05684343928689,13225700
2024-12-05,52.829261779785156,53.343800843708266,52.45325173795043,53.04695239999991,10017900
2024-12-06,52.968101501464844,53.45404905276736,52.571409468436855,53.26561863466804,8625900
2024-12-09,52.27389144897461,54.00941244356051,52.22430589147069,53.5532192615076,7959600
2024-12-10,52.303646087646484,53.325122953564886,51.90695405923817,53.325122953564886,7722000
2024-12-11,51.60943603515625,53.007769925517174,50.87555693025898,52.80942391475017,12609100
2024-12-12,51.867286682128906,52.25405934835902,51.51026459541318,51.96646158573647,9454900
2024-12-13,52.09538269042969,52.38298423290157,51.47059782895233,51.817700529773084,8849300
2024-12-16,51.80778503417969,52.18463831492473,50.85572488421064,51.61935461067146,11688400
2024-12-17,50.726802825927734,51.50034814560555,50.70696784553398,51.16316104518317,11201600
2024-12-18,49.57640075683594,51.430927929254665,49.54664639449034,50.83588986310691,13565000
2024-12-19,49.92350387573242,50.91523021113979,49.8739183155892,50.20118603904305,11211900
2024-12-20,51.381343841552734,51.70861157164455,49.655738318363724,49.67557329945047,23917800
2024-12-23,52.12513732910156,52.154887908433736,50.93506497505039,51.06399045738266,7553100
